Node,X_ft,Y_ft
1,0.0,0.0
2,0.0,4.8
3,0.0,9.6
4,0.0,14.4
5,0.0,19.2
6,0.0,24.0
7,0.0,28.8
8,0.0,33.6
9,0.0,38.4
10,0.0,43.2
11,0.0,48.0
12,0.0,52.0
13,0.0,56.0
14,0.0,60.0
15,4.9785,56.0004
16,5.0,9.6
17,5.0,38.4
18,5.0,0.0
19,5.0,4.8
20,5.0,14.4
21,5.0,19.2
22,5.0,24.0
23,5.0,28.8
24,5.0,33.6
25,5.0,43.2
26,5.0,48.0
27,5.0,52.0
28,5.0,60.0
29,9.9773,55.9996
30,10.0,9.6
31,10.0,38.4
32,10.0,0.0
33,10.0,4.8
34,10.0,14.4
35,10.0,19.2
36,10.0,24.0
37,10.0,28.8
38,10.0,33.6
39,10.0,43.2
40,10.0,48.0
41,10.0,52.0
42,10.0,60.0
43,14.9886,55.9998
44,15.0,43.2
45,15.0,4.8
46,15.0,24.0
47,15.0,38.4
48,15.0,0.0
49,15.0,48.0
50,15.0,52.0
51,15.0,60.0
52,15.0,9.6
53,15.0,14.4
54,15.0,19.2
55,15.0,28.8
56,15.0,33.6
57,19.9935,55.9999
58,20.0,9.6
59,20.0,38.4
60,20.0,0.0
61,20.0,4.8
62,20.0,14.4
63,20.0,19.2
64,20.0,24.0
65,20.0,28.8
66,20.0,33.6
67,20.0,43.2
68,20.0,48.0
69,20.0,52.0
70,20.0,60.0
71,24.9947,56.0
72,25.0,4.8
73,25.0,9.6
74,25.0,14.4
75,25.0,19.2
76,25.0,24.0
77,25.0,28.8
78,25.0,33.6
79,25.0,38.4
80,25.0,43.2
81,25.0,0.0
82,25.0,48.0
83,25.0,52.0
84,25.0,60.0
85,29.9956,56.0
86,30.0,43.2
87,30.0,4.8
88,30.0,24.0
89,30.0,38.4
90,30.0,0.0
91,30.0,48.0
92,30.0,52.0
93,30.0,60.0
94,30.0,9.6
95,30.0,14.4
96,30.0,19.2
97,30.0,28.8
98,30.0,33.6
99,34.9971,56.0
100,35.0,0.0
101,35.0,4.8
102,35.0,9.6
103,35.0,14.4
104,35.0,19.2
105,35.0,24.0
106,35.0,28.8
107,35.0,33.6
108,35.0,38.4
109,35.0,43.2
110,35.0,48.0
111,35.0,52.0
112,35.0,60.0
113,39.9982,56.0
114,40.0,9.6
115,40.0,38.4
116,40.0,0.0
117,40.0,4.8
118,40.0,14.4
119,40.0,19.2
120,40.0,24.0
121,40.0,28.8
122,40.0,33.6
123,40.0,43.2
124,40.0,48.0
125,40.0,52.0
126,40.0,60.0
127,44.9989,56.0
128,45.0,4.8
129,45.0,9.6
130,45.0,38.4
131,45.0,43.2
132,45.0,0.0
133,45.0,14.4
134,45.0,19.2
135,45.0,24.0
136,45.0,28.8
137,45.0,33.6
138,45.0,48.0
139,45.0,52.0
140,45.0,60.0
141,50.0,4.8
142,50.0,9.6
143,50.0,14.4
144,50.0,19.2
145,50.0,24.0
146,50.0,28.8
147,50.0,33.6
148,50.0,38.4
149,50.0,43.2
150,50.0,0.0
151,50.0,48.0
152,50.0,52.0
153,50.0,56.0
154,50.0,60.0
155,55.0,0.0
156,55.0,4.8
157,55.0,9.6
158,55.0,14.4
159,55.0,19.2
160,55.0,24.0
161,55.0,28.8
162,55.0,33.6
163,55.0,38.4
164,55.0,43.2
165,55.0,48.0
166,55.0,52.0
167,55.0,56.0
168,55.0,60.0
169,60.0,43.2
170,60.0,4.8
171,60.0,24.0
172,60.0,38.4
173,60.0,0.0
174,60.0,48.0
175,60.0,52.0
176,60.0,56.0
177,60.0,60.0
178,60.0,9.6
179,60.0,14.4
180,60.0,19.2
181,60.0,28.8
182,60.0,33.6
183,65.0,0.0
184,65.0,4.8
185,65.0,9.6
186,65.0,14.4
187,65.0,19.2
188,65.0,24.0
189,65.0,28.8
190,65.0,33.6
191,65.0,38.4
192,65.0,43.2
193,65.0,48.0
194,65.0,52.0
195,65.0,56.0
196,65.0,60.0
197,70.0,0.0
198,70.0,4.8
199,70.0,9.6
200,70.0,14.4
201,70.0,19.2
202,70.0,24.0
203,70.0,28.8
204,70.0,33.6
205,70.0,38.4
206,70.0,43.2
207,70.0,48.0
208,70.0,52.0
209,70.0,56.0
210,70.0,60.0
211,75.0,0.0
212,75.0,4.8
213,75.0,9.6
214,75.0,14.4
215,75.0,19.2
216,75.0,24.0
217,75.0,28.8
218,75.0,33.6
219,75.0,38.4
220,75.0,43.2
221,75.0,48.0
222,75.0,52.0
223,75.0,56.0
224,75.0,60.0
225,80.0,9.6
226,80.0,38.4
227,80.0,0.0
228,80.0,4.8
229,80.0,14.4
230,80.0,19.2
231,80.0,24.0
232,80.0,28.8
233,80.0,33.6
234,80.0,43.2
235,80.0,48.0
236,80.0,52.0
237,80.0,60.0
238,80.014,56.0021
239,85.0,0.0
240,85.0,4.8
241,85.0,9.6
242,85.0,14.4
243,85.0,19.2
244,85.0,24.0
245,85.0,28.8
246,85.0,33.6
247,85.0,38.4
248,85.0,43.2
249,85.0,48.0
250,85.0,52.0
251,85.0,60.0
252,85.0216,56.0041
253,90.0,4.8
254,90.0,9.6
255,90.0,38.4
256,90.0,43.2
257,90.0,0.0
258,90.0,14.4
259,90.0,19.2
260,90.0,24.0
261,90.0,28.8
262,90.0,33.6
263,90.0,48.0
264,90.0,52.0
265,90.0,60.0
266,90.033,56.0079
267,95.0,0.0
268,95.0,4.8
269,95.0,9.6
270,95.0,14.4
271,95.0,19.2
272,95.0,24.0
273,95.0,28.8
274,95.0,33.6
275,95.0,38.4
276,95.0,43.2
277,95.0,48.0
278,95.0,52.0
279,95.0,60.0
280,95.0501,56.0153
281,100.0,4.8
282,100.0,9.6
283,100.0,14.4
284,100.0,19.2
285,100.0,24.0
286,100.0,28.8
287,100.0,33.6
288,100.0,38.4
289,100.0,43.2
290,100.0,0.0
291,100.0,48.0
292,100.0,52.0
293,100.0,60.0
294,100.0751,56.0297
295,105.0,0.0
296,105.0,4.8
297,105.0,9.6
298,105.0,14.4
299,105.0,19.2
300,105.0,24.0
301,105.0,28.8
302,105.0,33.6
303,105.0,38.4
304,105.0,43.2
305,105.0,48.0
306,105.0,52.0
307,105.0,60.0
308,105.1111,56.0579
309,110.0,0.0
310,110.0,4.8
311,110.0,9.6
312,110.0,14.4
313,110.0,19.2
314,110.0,24.0
315,110.0,28.8
316,110.0,33.6
317,110.0,38.4
318,110.0,43.2
319,110.0,48.0
320,110.0,52.0
321,110.0,60.0
322,110.1991,56.2026
323,114.0633,57.7788
324,114.6,50.1333
325,114.6,54.1333
326,114.6,62.0
327,115.0,0.0
328,115.0,4.8
329,115.0,9.6
330,115.0,14.4
331,115.0,19.2
332,115.0,24.0
333,115.0,38.4
334,115.0,43.2
335,115.0,48.0
336,115.0,28.8
337,115.0,33.6
338,118.1575,59.4796
339,119.2,52.2667
340,119.2,56.2667
341,119.2,64.0
342,120.0,4.8
343,120.0,24.0
344,120.0,38.4
345,120.0,43.2
346,120.0,0.0
347,120.0,9.6
348,120.0,14.4
349,120.0,19.2
350,120.0,48.0
351,120.0,28.8
352,120.0,33.6
353,122.6327,61.2892
354,123.8,54.4
355,123.8,58.4
356,123.8,66.0
357,125.0,43.2
358,125.0,38.4
359,125.0,4.8
360,125.0,9.6
361,125.0,14.4
362,125.0,19.2
363,125.0,48.0
364,125.0,0.0
365,125.0,33.6
366,125.0,24.0
367,125.0,28.8
368,126.5165,62.973
369,128.4,56.5333
370,128.4,60.5333
371,128.4,68.0
372,129.9631,53.0389
373,130.0,0.0
374,130.0,4.8
375,130.0,9.6
376,130.0,14.4
377,130.0,19.2
378,130.0,24.0
379,130.0,28.8
380,130.0,33.6
381,130.0,38.4
382,130.0,43.2
383,130.0,48.0
384,133.0,58.6667
385,133.0,62.6667
386,133.0,70.0
387,134.6839,53.7804
388,135.0,0.0
389,135.0,4.8
390,135.0,9.6
391,135.0,14.4
392,135.0,19.2
393,135.0,24.0
394,135.0,28.8
395,135.0,33.6
396,135.0,38.4
397,135.0,43.2
398,135.0,48.0
399,137.6,60.8
400,137.6,64.8
401,137.6,72.0
402,140.0,0.0
403,140.0,4.8
404,140.0,9.6
405,140.0,14.4
406,140.0,19.2
407,140.0,24.0
408,140.0,28.8
409,140.0,33.6
410,140.0,38.4
411,140.0,43.2
412,140.0,48.0
413,140.3727,55.1087
414,142.2,62.9333
415,142.2,66.9333
416,142.2,74.0
417,143.7365,58.9185
418,145.0,0.0
419,145.0,4.8
420,145.0,9.6
421,145.0,14.4
422,145.0,19.2
423,145.0,24.0
424,145.0,28.8
425,145.0,33.6
426,145.0,38.4
427,145.0,43.2
428,145.0,48.0
429,145.4332,52.9361
430,146.6209,56.0953
431,146.8,65.0667
432,146.8,69.0667
433,146.8,76.0
434,148.6284,60.9926
435,150.0,0.0
436,150.0,4.8
437,150.0,9.6
438,150.0,14.4
439,150.0,19.2
440,150.0,24.0
441,150.0,28.8
442,150.0,33.6
443,150.0,38.4
444,150.0,43.2
445,150.0,48.0
446,150.0,53.0
447,150.5293,56.9525
448,151.4,67.2
449,151.4,71.2
450,151.4,78.0
451,153.4016,62.6416
452,155.0,0.0
453,155.0,4.8
454,155.0,9.6
455,155.0,14.4
456,155.0,19.2
457,155.0,24.0
458,155.0,28.8
459,155.0,33.6
460,155.0,38.4
461,155.0,43.2
462,155.0,48.0
463,155.0,53.0
464,155.3297,58.017
465,156.0,69.3333
466,156.0,73.3333
467,156.0,80.0
468,158.0579,64.219
